u,v,w,p,s,d,r,vtkValidPointMask,arc_length,Points0,Points1,Points2
0,-1.8843e-05,-1.6198e-05,-0.00059618,-1.6367e-06,0,0,1,2.79,2.79,1,0
0,-1.8303e-05,-1.4945e-05,-0.0005688,-1.5811e-06,0,0,1,2.808,2.808,1,0
0,-1.7762e-05,-1.3693e-05,-0.00054141,-1.5256e-06,0,0,1,2.826,2.826,1,0
0,-1.7221e-05,-1.2441e-05,-0.00051403,-1.4701e-06,0,0,1,2.844,2.844,1,0
0,-1.668e-05,-1.1189e-05,-0.00048664,-1.4146e-06,0,0,1,2.862,2.862,1,0
0,-1.6139e-05,-9.9366e-06,-0.00045926,-1.359e-06,0,0,1,2.88,2.88,1,0
0,-1.5598e-05,-8.6844e-06,-0.00043187,-1.3035e-06,0,0,1,2.898,2.898,1,0
0,-1.5057e-05,-7.4322e-06,-0.00040449,-1.248e-06,0,0,1,2.916,2.916,1,0
0,-1.4516e-05,-6.18e-06,-0.0003771,-1.1925e-06,0,0,1,2.934,2.934,1,0
0,-1.3976e-05,-4.9278e-06,-0.00034972,-1.1369e-06,0,0,1,2.952,2.952,1,0
0,-1.3435e-05,-3.6755e-06,-0.00032233,-1.0814e-06,0,0,1,2.97,2.97,1,0
0,-1.2894e-05,-2.4234e-06,-0.00029495,-1.0259e-06,0,0,1,2.988,2.988,1,0
0,-1.2353e-05,-1.1711e-06,-0.00026756,-9.7037e-07,0,0,1,3.006,3.006,1,0
0,-1.1812e-05,8.1052e-08,-0.00024017,-9.1485e-07,0,0,1,3.024,3.024,1,0
0,-1.1271e-05,1.3333e-06,-0.00021279,-8.5932e-07,0,0,1,3.042,3.042,1,0
0,-1.073e-05,2.5855e-06,-0.0001854,-8.038e-07,0,0,1,3.06,3.06,1,0
0,-1.0189e-05,3.8377e-06,-0.00015802,-7.4827e-07,0,0,1,3.078,3.078,1,0
0,-9.6486e-06,5.0899e-06,-0.00013063,-6.9275e-07,0,0,1,3.096,3.096,1,0
0,-9.1077e-06,6.3421e-06,-0.00010325,-6.3722e-07,0,0,1,3.114,3.114,1,0
0,-8.5668e-06,7.5943e-06,-7.5863e-05,-5.817e-07,0,0,1,3.132,3.132,1,0
0,-8.026e-06,8.8465e-06,-4.8477e-05,-5.2618e-07,0,0,1,3.15,3.15,1,0
0,-7.4851e-06,1.0099e-05,-2.1092e-05,-4.7065e-07,0,0,1,3.168,3.168,1,0
0,-6.9442e-06,1.1351e-05,6.2936e-06,-4.1513e-07,0,0,1,3.186,3.186,1,0
0,-6.4034e-06,1.2603e-05,3.3679e-05,-3.596e-07,0,0,1,3.204,3.204,1,0
1.5757e-10,-5.8625e-06,1.3843e-05,6.1015e-05,-3.0427e-07,0,0,1,3.222,3.222,1,0
4.0378e-22,-5.9698e-06,1.078e-05,8.199e-05,-2.216e-07,0,0,1,3.24,3.24,1,0
0,-5.6952e-06,1.0394e-05,7.6659e-05,-2.2401e-07,0,0,1,3.258,3.258,1,0
0,-5.3564e-06,1.0064e-05,7.3894e-05,-2.1145e-07,0,0,1,3.276,3.276,1,0
0,-5.0177e-06,9.7331e-06,7.1129e-05,-1.989e-07,0,0,1,3.294,3.294,1,0
0,-4.679e-06,9.4026e-06,6.8364e-05,-1.8634e-07,0,0,1,3.312,3.312,1,0
0,-4.3403e-06,9.0721e-06,6.5599e-05,-1.7378e-07,0,0,1,3.33,3.33,1,0
0,-4.0016e-06,8.7416e-06,6.2834e-05,-1.6123e-07,0,0,1,3.348,3.348,1,0
0,-3.6629e-06,8.4111e-06,6.0069e-05,-1.4867e-07,0,0,1,3.366,3.366,1,0
0,-3.3242e-06,8.0806e-06,5.7304e-05,-1.3611e-07,0,0,1,3.384,3.384,1,0
0,-2.9855e-06,7.7501e-06,5.4538e-05,-1.2356e-07,0,0,1,3.402,3.402,1,0
0,-2.6467e-06,7.4196e-06,5.1773e-05,-1.11e-07,0,0,1,3.42,3.42,1,0
0,-2.308e-06,7.0891e-06,4.9008e-05,-9.8443e-08,0,0,1,3.438,3.438,1,0
0,-1.9693e-06,6.7586e-06,4.6243e-05,-8.5886e-08,0,0,1,3.456,3.456,1,0
0,-1.6306e-06,6.4281e-06,4.3478e-05,-7.3329e-08,0,0,1,3.474,3.474,1,0
0,-1.2919e-06,6.0976e-06,4.0713e-05,-6.0772e-08,0,0,1,3.492,3.492,1,0
0,-9.5317e-07,5.7672e-06,3.7948e-05,-4.8216e-08,0,0,1,3.51,3.51,1,0
0,-6.1445e-07,5.4367e-06,3.5183e-05,-3.5659e-08,0,0,1,3.528,3.528,1,0
0,-2.7574e-07,5.1062e-06,3.2418e-05,-2.3102e-08,0,0,1,3.546,3.546,1,0
0,6.2973e-08,4.7757e-06,2.9653e-05,-1.0545e-08,0,0,1,3.564,3.564,1,0
0,4.0169e-07,4.4452e-06,2.6888e-05,2.0118e-09,0,0,1,3.582,3.582,1,0
