u,v,p,s,d,points0,points1,points2
-1.3378e-09,-4.0656e-11,-4.7918e-07,2.831e-90,0,16.2,0.1,0
0,0,-4.6289e-07,-4.8053e-91,5.9314e-95,16.3,0,0
-1.2723e-09,-4.4619e-11,-4.6235e-07,-7.6291e-91,0,16.3,0.1,0
0,0,-4.4701e-07,1.2943e-91,-1.5465e-95,16.4,0,0
-1.1957e-09,-4.7478e-11,-4.4642e-07,2.0557e-91,0,16.4,0.1,0
0,0,-4.3213e-07,-3.4856e-92,4.0301e-96,16.5,0,0
-1.1104e-09,-4.9318e-11,-4.3151e-07,-5.5385e-92,0,16.5,0.1,0
0,0,-4.1836e-07,9.3864e-93,-1.0495e-96,16.6,0,0
-1.019e-09,-5.0292e-11,-4.1773e-07,1.4921e-92,0,16.6,0.1,0
0,0,-4.0576e-07,-2.5274e-93,2.7316e-97,16.7,0,0
-9.2428e-10,-5.0594e-11,-4.0513e-07,-4.0192e-93,0,16.7,0.1,0
0,0,-3.9437e-07,6.805e-94,-7.1044e-98,16.8,0,0
-8.287e-10,-5.044e-11,-3.9374e-07,1.0826e-93,0,16.8,0.1,0
0,0,-3.8419e-07,-1.832e-94,1.8465e-98,16.9,0,0
-7.3454e-10,-5.0049e-11,-3.8358e-07,-2.9156e-94,0,16.9,0.1,0
0,0,-3.7519e-07,4.9318e-95,-4.7954e-99,17,0,0
-6.4364e-10,-4.963e-11,-3.746e-07,7.8518e-95,0,17,0.1,0
0,0,-3.6734e-07,-1.3275e-95,1.2444e-99,17.1,0,0
-5.5733e-10,-4.936e-11,-3.6677e-07,-2.1143e-95,0,17.1,0.1,0
0,0,-3.6057e-07,3.5731e-96,-3.2267e-100,17.2,0,0
-4.7649e-10,-4.9378e-11,-3.6001e-07,5.6928e-96,0,17.2,0.1,0
0,0,-3.5481e-07,-9.6163e-97,8.3589e-101,17.3,0,0
-4.0146e-10,-4.9759e-11,-3.5427e-07,-1.5327e-96,0,17.3,0.1,0
0,0,-3.5e-07,2.5879e-97,-2.1634e-101,17.4,0,0
-3.3216e-10,-5.0517e-11,-3.4946e-07,4.126e-97,0,17.4,0.1,0
0,0,-3.4606e-07,-6.9637e-98,5.5936e-102,17.5,0,0
